kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1622, susp=0.9980979553019497]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1543, susp=0.9980979553019497]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1537, susp=0.9980979553019497]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=422, susp=0.9980979553019497]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=419, susp=0.9980979553019497]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=415, susp=0.9980979553019497]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=409, susp=0.9980979553019497]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=398, susp=0.9980979553019497]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=391, susp=0.9980979553019497]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=388, susp=0.9980979553019497]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1586, susp=0.9971496437054631]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1513, susp=0.9971496437054631]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1508, susp=0.9971496437054631]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1504, susp=0.9971496437054631]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1481, susp=0.9971496437054631]
kali-susp:Candidate [className=org.apache.commons.math.util.MathUtils, methodName=org.apache.commons.math.util.MathUtils{factorialLog(I)D 0.0, lineNumber=574, susp=0.996203132415757]
kali-susp:Candidate [className=org.apache.commons.math.util.MathUtils, methodName=org.apache.commons.math.util.MathUtils{factorialLog(I)D 0.0, lineNumber=569, susp=0.996203132415757]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=356, susp=0.9952584163110479]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=347, susp=0.9952584163110479]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextPoisson(D)J 0.0, lineNumber=339, susp=0.9952584163110479]
kali-susp:Candidate [className=org.apache.commons.math.stat.inference.ChiSquareTestImpl, methodName=org.apache.commons.math.stat.inference.ChiSquareTestImpl{chiSquareTest([D[JD)Z 0.0, lineNumber=137, susp=0.9952584163110479]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextExponential(D)D 0.0, lineNumber=464, susp=0.9943154902889627]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{goodStep(II)I 0.0, lineNumber=1098, susp=0.992434988179669]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{goodStep(II)I 0.0, lineNumber=1095, susp=0.992434988179669]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{goodStep(II)I 0.0, lineNumber=1093, susp=0.992434988179669]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{goodStep(II)I 0.0, lineNumber=1084, susp=0.992434988179669]
kali-susp:Candidate [className=org.apache.commons.math.distribution.PoissonDistributionImpl, methodName=org.apache.commons.math.distribution.PoissonDistributionImpl{cumulativeProbability(I)D 0.0, lineNumber=132, susp=0.992434988179669]
kali-susp:Candidate [className=org.apache.commons.math.distribution.PoissonDistributionImpl, methodName=org.apache.commons.math.distribution.PoissonDistributionImpl{cumulativeProbability(I)D 0.0, lineNumber=129, susp=0.992434988179669]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1520, susp=0.9914974019839395]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1478, susp=0.9914974019839395]
kali-susp:Candidate [className=org.apache.commons.math.distribution.AbstractIntegerDistribution, methodName=org.apache.commons.math.distribution.AbstractIntegerDistribution{cumulativeProbability(II)D 0.0, lineNumber=138, susp=0.988695242581253]
kali-susp:Candidate [className=org.apache.commons.math.distribution.PoissonDistributionImpl, methodName=org.apache.commons.math.distribution.PoissonDistributionImpl{setMean(D)V 0.0, lineNumber=88, susp=0.987764705882353]
kali-susp:Candidate [className=org.apache.commons.math.random.RandomDataImpl, methodName=org.apache.commons.math.random.RandomDataImpl{nextGaussian(DD)D 0.0, lineNumber=443, susp=0.986835919134932]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{updateSigma(D)V 0.0, lineNumber=1682, susp=0.9859088774072334]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1526, susp=0.9859088774072334]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1458, susp=0.9859088774072334]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1454, susp=0.9859088774072334]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1448, susp=0.9859088774072334]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{computeShiftIncrement(III)V 0.0, lineNumber=1438, susp=0.9859088774072334]
kali-susp:Candidate [className=org.apache.commons.math.linear.EigenDecompositionImpl, methodName=org.apache.commons.math.linear.EigenDecompositionImpl{dqd(II)V 0.0, lineNumber=1407, susp=0.9859088774072334]
