kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot, methodName=org.jfree.chart.plot.PiePlot{getLegendItems()Lorg/jfree/chart/LegendItemCollection; 0.0, lineNumber=2613, susp=1.0]
kali-susp:Candidate [className=org.jfree.data.general.DatasetUtilities, methodName=org.jfree.data.general.DatasetUtilities{calculatePieDatasetTotal(Lorg/jfree/data/general/PieDataset;)D 0.0, lineNumber=153, susp=1.0]
kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot3D, methodName=org.jfree.chart.plot.PiePlot3D{draw(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;Lorg/jfree/chart/plot/PlotState;Lorg/jfree/chart/plot/PlotRenderingInfo;)V 0.0, lineNumber=280, susp=0.7071067811865475]
kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot3D, methodName=org.jfree.chart.plot.PiePlot3D{draw(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;Lorg/jfree/chart/plot/PlotState;Lorg/jfree/chart/plot/PlotRenderingInfo;)V 0.0, lineNumber=272, susp=0.7071067811865475]
kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot3D, methodName=org.jfree.chart.plot.PiePlot3D{draw(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;Lorg/jfree/chart/plot/PlotState;Lorg/jfree/chart/plot/PlotRenderingInfo;)V 0.0, lineNumber=269, susp=0.7071067811865475]
kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot3D, methodName=org.jfree.chart.plot.PiePlot3D{draw(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;Lorg/jfree/chart/plot/PlotState;Lorg/jfree/chart/plot/PlotRenderingInfo;)V 0.0, lineNumber=268, susp=0.7071067811865475]
kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot3D, methodName=org.jfree.chart.plot.PiePlot3D{draw(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;Lorg/jfree/chart/plot/PlotState;Lorg/jfree/chart/plot/PlotRenderingInfo;)V 0.0, lineNumber=267, susp=0.7071067811865475]
kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot3D, methodName=org.jfree.chart.plot.PiePlot3D{draw(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;Lorg/jfree/chart/plot/PlotState;Lorg/jfree/chart/plot/PlotRenderingInfo;)V 0.0, lineNumber=266, susp=0.7071067811865475]
kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot3D, methodName=org.jfree.chart.plot.PiePlot3D{draw(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;Lorg/jfree/chart/plot/PlotState;Lorg/jfree/chart/plot/PlotRenderingInfo;)V 0.0, lineNumber=252, susp=0.7071067811865475]
kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot3D, methodName=org.jfree.chart.plot.PiePlot3D{draw(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;Lorg/jfree/chart/plot/PlotState;Lorg/jfree/chart/plot/PlotRenderingInfo;)V 0.0, lineNumber=250, susp=0.7071067811865475]
kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot3D, methodName=org.jfree.chart.plot.PiePlot3D{draw(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;Lorg/jfree/chart/plot/PlotState;Lorg/jfree/chart/plot/PlotRenderingInfo;)V 0.0, lineNumber=248, susp=0.7071067811865475]
kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot3D, methodName=org.jfree.chart.plot.PiePlot3D{draw(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;Lorg/jfree/chart/plot/PlotState;Lorg/jfree/chart/plot/PlotRenderingInfo;)V 0.0, lineNumber=247, susp=0.7071067811865475]
kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot3D, methodName=org.jfree.chart.plot.PiePlot3D{draw(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;Lorg/jfree/chart/plot/PlotState;Lorg/jfree/chart/plot/PlotRenderingInfo;)V 0.0, lineNumber=246, susp=0.7071067811865475]
kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot3D, methodName=org.jfree.chart.plot.PiePlot3D{draw(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;Lorg/jfree/chart/plot/PlotState;Lorg/jfree/chart/plot/PlotRenderingInfo;)V 0.0, lineNumber=245, susp=0.7071067811865475]
kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot3D, methodName=org.jfree.chart.plot.PiePlot3D{draw(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;Lorg/jfree/chart/plot/PlotState;Lorg/jfree/chart/plot/PlotRenderingInfo;)V 0.0, lineNumber=242, susp=0.7071067811865475]
kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot3D, methodName=org.jfree.chart.plot.PiePlot3D{draw(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;Lorg/jfree/chart/plot/PlotState;Lorg/jfree/chart/plot/PlotRenderingInfo;)V 0.0, lineNumber=241, susp=0.7071067811865475]
kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot3D, methodName=org.jfree.chart.plot.PiePlot3D{draw(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;Lorg/jfree/chart/plot/PlotState;Lorg/jfree/chart/plot/PlotRenderingInfo;)V 0.0, lineNumber=239, susp=0.7071067811865475]
kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot3D, methodName=org.jfree.chart.plot.PiePlot3D{draw(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;Lorg/jfree/chart/plot/PlotState;Lorg/jfree/chart/plot/PlotRenderingInfo;)V 0.0, lineNumber=234, susp=0.7071067811865475]
kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot3D, methodName=org.jfree.chart.plot.PiePlot3D{draw(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;Lorg/jfree/chart/plot/PlotState;Lorg/jfree/chart/plot/PlotRenderingInfo;)V 0.0, lineNumber=233, susp=0.7071067811865475]
kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot3D, methodName=org.jfree.chart.plot.PiePlot3D{draw(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;Lorg/jfree/chart/plot/PlotState;Lorg/jfree/chart/plot/PlotRenderingInfo;)V 0.0, lineNumber=231, susp=0.7071067811865475]
kali-susp:Candidate [className=org.jfree.chart.plot.PiePlot3D, methodName=org.jfree.chart.plot.PiePlot3D{draw(Ljava/awt/Graphics2D;Ljava/awt/geom/Rectangle2D;Ljava/awt/geom/Point2D;Lorg/jfree/chart/plot/PlotState;Lorg/jfree/chart/plot/PlotRenderingInfo;)V 0.0, lineNumber=230, susp=0.7071067811865475]
