kali-susp:Candidate [className=org.jfree.chart.renderer.category.StatisticalBarRenderer, methodName=org.jfree.chart.renderer.category.StatisticalBarRenderer{drawItem(Ljava/awt/Graphics2D;Lorg/jfree/chart/renderer/category/CategoryItemRendererState;Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/plot/CategoryPlot;Lorg/jfree/chart/axis/CategoryAxis;Lorg/jfree/chart/axis/ValueAxis;Lorg/jfree/data/category/CategoryDataset;III)V 0.0, lineNumber=207, susp=7.99938195302843]
kali-susp:Candidate [className=org.jfree.chart.renderer.category.StatisticalBarRenderer, methodName=org.jfree.chart.renderer.category.StatisticalBarRenderer{drawItem(Ljava/awt/Graphics2D;Lorg/jfree/chart/renderer/category/CategoryItemRendererState;Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/plot/CategoryPlot;Lorg/jfree/chart/axis/CategoryAxis;Lorg/jfree/chart/axis/ValueAxis;Lorg/jfree/data/category/CategoryDataset;III)V 0.0, lineNumber=200, susp=7.99938195302843]
kali-susp:Candidate [className=org.jfree.data.statistics.DefaultStatisticalCategoryDataset, methodName=org.jfree.data.statistics.DefaultStatisticalCategoryDataset{getStdDevValue(II)Ljava/lang/Number; 0.0, lineNumber=172, susp=7.99876390605686]
kali-susp:Candidate [className=org.jfree.data.statistics.DefaultStatisticalCategoryDataset, methodName=org.jfree.data.statistics.DefaultStatisticalCategoryDataset{getMeanValue(II)Ljava/lang/Number; 0.0, lineNumber=110, susp=7.99876390605686]
kali-susp:Candidate [className=org.jfree.data.statistics.DefaultStatisticalCategoryDataset, methodName=org.jfree.data.statistics.DefaultStatisticalCategoryDataset{getRangeBounds(Z)Lorg/jfree/data/Range; 0.0, lineNumber=379, susp=7.99814585908529]
kali-susp:Candidate [className=org.jfree.data.statistics.DefaultStatisticalCategoryDataset, methodName=org.jfree.data.statistics.DefaultStatisticalCategoryDataset{getRangeBounds(Z)Lorg/jfree/data/Range; 0.0, lineNumber=378, susp=7.99814585908529]
kali-susp:Candidate [className=org.jfree.data.statistics.DefaultStatisticalCategoryDataset, methodName=org.jfree.data.statistics.DefaultStatisticalCategoryDataset{add(Ljava/lang/Number;Ljava/lang/Number;Ljava/lang/Comparable;Ljava/lang/Comparable;)V 0.0, lineNumber=333, susp=7.996291718170581]
kali-susp:Candidate [className=org.jfree.data.statistics.DefaultStatisticalCategoryDataset, methodName=org.jfree.data.statistics.DefaultStatisticalCategoryDataset{add(Ljava/lang/Number;Ljava/lang/Number;Ljava/lang/Comparable;Ljava/lang/Comparable;)V 0.0, lineNumber=332, susp=7.996291718170581]
kali-susp:Candidate [className=org.jfree.data.statistics.DefaultStatisticalCategoryDataset, methodName=org.jfree.data.statistics.DefaultStatisticalCategoryDataset{add(Ljava/lang/Number;Ljava/lang/Number;Ljava/lang/Comparable;Ljava/lang/Comparable;)V 0.0, lineNumber=326, susp=7.996291718170581]
kali-susp:Candidate [className=org.jfree.data.statistics.DefaultStatisticalCategoryDataset, methodName=org.jfree.data.statistics.DefaultStatisticalCategoryDataset{add(Ljava/lang/Number;Ljava/lang/Number;Ljava/lang/Comparable;Ljava/lang/Comparable;)V 0.0, lineNumber=325, susp=7.996291718170581]
kali-susp:Candidate [className=org.jfree.data.statistics.DefaultStatisticalCategoryDataset, methodName=org.jfree.data.statistics.DefaultStatisticalCategoryDataset{add(Ljava/lang/Number;Ljava/lang/Number;Ljava/lang/Comparable;Ljava/lang/Comparable;)V 0.0, lineNumber=319, susp=7.996291718170581]
