kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexSolver, methodName=org.apache.commons.math3.optimization.linear.SimplexSolver{getPivotRow(Lorg/apache/commons/math3/optimization/linear/SimplexTableau;I)Ljava/lang/Integer; 0.0, lineNumber=144, susp=0.999246798895305]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexSolver, methodName=org.apache.commons.math3.optimization.linear.SimplexSolver{getPivotRow(Lorg/apache/commons/math3/optimization/linear/SimplexTableau;I)Ljava/lang/Integer; 0.0, lineNumber=143, susp=0.999246798895305]
kali-susp:Candidate [className=org.apache.commons.math3.exception.util.ExceptionContext, methodName=org.apache.commons.math3.exception.util.ExceptionContext{buildMessage(Ljava/util/Locale;Ljava/lang/String;)Ljava/lang/String; 0.0, lineNumber=180, susp=0.9984947315604616]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexSolver, methodName=org.apache.commons.math3.optimization.linear.SimplexSolver{getPivotRow(Lorg/apache/commons/math3/optimization/linear/SimplexTableau;I)Ljava/lang/Integer; 0.0, lineNumber=123, susp=0.9979939819458374]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexTableau, methodName=org.apache.commons.math3.optimization.linear.SimplexTableau{dropPhase1Objective()V 0.0, lineNumber=360, susp=0.9952488122030508]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexTableau, methodName=org.apache.commons.math3.optimization.linear.SimplexTableau{dropPhase1Objective()V 0.0, lineNumber=351, susp=0.9952488122030508]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexTableau, methodName=org.apache.commons.math3.optimization.linear.SimplexTableau{dropPhase1Objective()V 0.0, lineNumber=343, susp=0.9952488122030508]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexSolver, methodName=org.apache.commons.math3.optimization.linear.SimplexSolver{solvePhase1(Lorg/apache/commons/math3/optimization/linear/SimplexTableau;)V 0.0, lineNumber=206, susp=0.9947513121719569]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer, methodName=org.apache.commons.math3.optimization.linear.AbstractLinearOptimizer{incrementIterationsCounter()V 0.0, lineNumber=127, susp=0.994254309268049]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexTableau, methodName=org.apache.commons.math3.optimization.linear.SimplexTableau{subtractRow(IID)V 0.0, lineNumber=466, susp=0.994254309268049]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexSolver, methodName=org.apache.commons.math3.optimization.linear.SimplexSolver{doIteration(Lorg/apache/commons/math3/optimization/linear/SimplexTableau;)V 0.0, lineNumber=179, susp=0.994254309268049]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexSolver, methodName=org.apache.commons.math3.optimization.linear.SimplexSolver{doIteration(Lorg/apache/commons/math3/optimization/linear/SimplexTableau;)V 0.0, lineNumber=169, susp=0.994254309268049]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexSolver, methodName=org.apache.commons.math3.optimization.linear.SimplexSolver{getPivotRow(Lorg/apache/commons/math3/optimization/linear/SimplexTableau;I)Ljava/lang/Integer; 0.0, lineNumber=115, susp=0.994254309268049]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexSolver, methodName=org.apache.commons.math3.optimization.linear.SimplexSolver{getPivotRow(Lorg/apache/commons/math3/optimization/linear/SimplexTableau;I)Ljava/lang/Integer; 0.0, lineNumber=113, susp=0.994254309268049]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexSolver, methodName=org.apache.commons.math3.optimization.linear.SimplexSolver{getPivotRow(Lorg/apache/commons/math3/optimization/linear/SimplexTableau;I)Ljava/lang/Integer; 0.0, lineNumber=105, susp=0.994254309268049]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexSolver, methodName=org.apache.commons.math3.optimization.linear.SimplexSolver{getPivotRow(Lorg/apache/commons/math3/optimization/linear/SimplexTableau;I)Ljava/lang/Integer; 0.0, lineNumber=103, susp=0.994254309268049]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexSolver, methodName=org.apache.commons.math3.optimization.linear.SimplexSolver{getPivotRow(Lorg/apache/commons/math3/optimization/linear/SimplexTableau;I)Ljava/lang/Integer; 0.0, lineNumber=98, susp=0.994254309268049]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexSolver, methodName=org.apache.commons.math3.optimization.linear.SimplexSolver{getPivotColumn(Lorg/apache/commons/math3/optimization/linear/SimplexTableau;)Ljava/lang/Integer; 0.0, lineNumber=76, susp=0.994254309268049]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexTableau, methodName=org.apache.commons.math3.optimization.linear.SimplexTableau{dropPhase1Objective()V 0.0, lineNumber=333, susp=0.994254309268049]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexTableau, methodName=org.apache.commons.math3.optimization.linear.SimplexTableau{getBasicRow(I)Ljava/lang/Integer; 0.0, lineNumber=321, susp=0.994254309268049]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexTableau, methodName=org.apache.commons.math3.optimization.linear.SimplexTableau{getBasicRow(I)Ljava/lang/Integer; 0.0, lineNumber=319, susp=0.994254309268049]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexTableau, methodName=org.apache.commons.math3.optimization.linear.SimplexTableau{createTableau(Z)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=230, susp=0.9940059940059941]
kali-susp:Candidate [className=org.apache.commons.math3.util.Precision, methodName=org.apache.commons.math3.util.Precision{compareTo(DDI)I 0.0, lineNumber=116, susp=0.9937578027465667]
kali-susp:Candidate [className=org.apache.commons.math3.util.Precision, methodName=org.apache.commons.math3.util.Precision{compareTo(DDI)I 0.0, lineNumber=114, susp=0.9937578027465667]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexTableau, methodName=org.apache.commons.math3.optimization.linear.SimplexTableau{isOptimal()Z 0.0, lineNumber=391, susp=0.9937578027465667]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexSolver, methodName=org.apache.commons.math3.optimization.linear.SimplexSolver{solvePhase1(Lorg/apache/commons/math3/optimization/linear/SimplexTableau;)V 0.0, lineNumber=197, susp=0.9937578027465667]
kali-susp:Candidate [className=org.apache.commons.math3.linear.AbstractRealMatrix, methodName=org.apache.commons.math3.linear.AbstractRealMatrix{setRowVector(ILorg/apache/commons/math3/linear/RealVector;)V 0.0, lineNumber=493, susp=0.9930139720558883]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexTableau, methodName=org.apache.commons.math3.optimization.linear.SimplexTableau{getConstraintTypeCounts(Lorg/apache/commons/math3/optimization/linear/Relationship;)I 0.0, lineNumber=290, susp=0.9927662758792717]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexTableau, methodName=org.apache.commons.math3.optimization.linear.SimplexTableau{normalize(Lorg/apache/commons/math3/optimization/linear/LinearConstraint;)Lorg/apache/commons/math3/optimization/linear/LinearConstraint; 0.0, lineNumber=265, susp=0.9927662758792717]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexTableau, methodName=org.apache.commons.math3.optimization.linear.SimplexTableau{createTableau(Z)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=235, susp=0.9927662758792717]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexTableau, methodName=org.apache.commons.math3.optimization.linear.SimplexTableau{createTableau(Z)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=228, susp=0.9927662758792717]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexTableau, methodName=org.apache.commons.math3.optimization.linear.SimplexTableau{createTableau(Z)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=219, susp=0.9927662758792717]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexTableau, methodName=org.apache.commons.math3.optimization.linear.SimplexTableau{createTableau(Z)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=203, susp=0.9927662758792717]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexTableau, methodName=org.apache.commons.math3.optimization.linear.SimplexTableau{createTableau(Z)Lorg/apache/commons/math3/linear/RealMatrix; 0.0, lineNumber=192, susp=0.9927662758792717]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexTableau, methodName=org.apache.commons.math3.optimization.linear.SimplexTableau{initializeColumnLabels()V 0.0, lineNumber=166, susp=0.9927662758792717]
kali-susp:Candidate [className=org.apache.commons.math3.optimization.linear.SimplexTableau, methodName=org.apache.commons.math3.optimization.linear.SimplexTableau{initializeColumnLabels()V 0.0, lineNumber=159, susp=0.9927662758792717]
kali-susp:Candidate [className=org.apache.commons.math3.util.Precision, methodName=org.apache.commons.math3.util.Precision{compareTo(DDD)I 0.0, lineNumber=90, susp=0.9905425584868094]
kali-susp:Candidate [className=org.apache.commons.math3.util.Precision, methodName=org.apache.commons.math3.util.Precision{compareTo(DDD)I 0.0, lineNumber=88, susp=0.9863692688971499]
kali-susp:Candidate [className=org.apache.commons.math3.linear.ArrayRealVector, methodName=org.apache.commons.math3.linear.ArrayRealVector{subtract(Lorg/apache/commons/math3/linear/RealVector;)Lorg/apache/commons/math3/linear/ArrayRealVector; 0.0, lineNumber=317, susp=0.9815043156596793]
kali-susp:Candidate [className=org.apache.commons.math3.linear.ArrayRealVector, methodName=org.apache.commons.math3.linear.ArrayRealVector{checkVectorDimensions(I)V 0.0, lineNumber=743, susp=0.9653165170991997]
kali-susp:Candidate [className=org.apache.commons.math3.linear.Array2DRowRealMatrix, methodName=org.apache.commons.math3.linear.Array2DRowRealMatrix{setSubMatrix([[DII)V 0.0, lineNumber=281, susp=0.9371320932422886]
kali-susp:Candidate [className=org.apache.commons.math3.linear.Array2DRowRealMatrix, methodName=org.apache.commons.math3.linear.Array2DRowRealMatrix{setSubMatrix([[DII)V 0.0, lineNumber=276, susp=0.9371320932422886]
kali-susp:Candidate [className=org.apache.commons.math3.linear.Array2DRowRealMatrix, methodName=org.apache.commons.math3.linear.Array2DRowRealMatrix{setSubMatrix([[DII)V 0.0, lineNumber=271, susp=0.9371320932422886]
kali-susp:Candidate [className=org.apache.commons.math3.linear.Array2DRowRealMatrix, methodName=org.apache.commons.math3.linear.Array2DRowRealMatrix{setSubMatrix([[DII)V 0.0, lineNumber=266, susp=0.9371320932422886]
kali-susp:Candidate [className=org.apache.commons.math3.linear.Array2DRowRealMatrix, methodName=org.apache.commons.math3.linear.Array2DRowRealMatrix{setSubMatrix([[DII)V 0.0, lineNumber=263, susp=0.9371320932422886]
kali-susp:Candidate [className=org.apache.commons.math3.linear.Array2DRowRealMatrix, methodName=org.apache.commons.math3.linear.Array2DRowRealMatrix{setSubMatrix([[DII)V 0.0, lineNumber=262, susp=0.9371320932422886]
kali-susp:Candidate [className=org.apache.commons.math3.linear.MatrixUtils, methodName=org.apache.commons.math3.linear.MatrixUtils{checkRowIndex(Lorg/apache/commons/math3/linear/AnyMatrix;I)V 0.0, lineNumber=391, susp=0.912216364886546]
kali-susp:Candidate [className=org.apache.commons.math3.linear.MatrixUtils, methodName=org.apache.commons.math3.linear.MatrixUtils{checkColumnIndex(Lorg/apache/commons/math3/linear/AnyMatrix;I)V 0.0, lineNumber=406, susp=0.9120073327222732]
kali-susp:Candidate [className=org.apache.commons.math3.exception.util.ArgUtils, methodName=org.apache.commons.math3.exception.util.ArgUtils{flatten([Ljava/lang/Object;)[Ljava/lang/Object; 0.0, lineNumber=45, susp=0.8466283769410763]
kali-susp:Candidate [className=org.apache.commons.math3.util.Precision, methodName=org.apache.commons.math3.util.Precision{equals(DDI)Z 0.0, lineNumber=307, susp=0.8453695836873407]
kali-susp:Candidate [className=org.apache.commons.math3.util.Precision, methodName=org.apache.commons.math3.util.Precision{equals(DDI)Z 0.0, lineNumber=304, susp=0.8453695836873407]
kali-susp:Candidate [className=org.apache.commons.math3.util.MathUtils, methodName=org.apache.commons.math3.util.MathUtils{checkNotNull(Ljava/lang/Object;)V 0.0, lineNumber=257, susp=0.8394853406454336]
kali-susp:Candidate [className=org.apache.commons.math3.exception.util.ArgUtils, methodName=org.apache.commons.math3.exception.util.ArgUtils{flatten([Ljava/lang/Object;)[Ljava/lang/Object; 0.0, lineNumber=43, susp=0.8226539892517569]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree, methodName=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree{delete(Ljava/lang/Comparable;)Z 0.0, lineNumber=89, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree, methodName=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree{delete(Ljava/lang/Comparable;)Z 0.0, lineNumber=86, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree, methodName=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree{delete(Ljava/lang/Comparable;)Z 0.0, lineNumber=82, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree$Node, methodName=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree$Node{getPrevious()Lorg/apache/commons/math3/geometry/partitioning/utilities/AVLTree$Node; 0.0, lineNumber=310, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree$Node, methodName=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree$Node{getPrevious()Lorg/apache/commons/math3/geometry/partitioning/utilities/AVLTree$Node; 0.0, lineNumber=304, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree$Node, methodName=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree$Node{getPrevious()Lorg/apache/commons/math3/geometry/partitioning/utilities/AVLTree$Node; 0.0, lineNumber=302, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree, methodName=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree{getNotLarger(Ljava/lang/Comparable;)Lorg/apache/commons/math3/geometry/partitioning/utilities/AVLTree$Node; 0.0, lineNumber=192, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree, methodName=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree{getNotLarger(Ljava/lang/Comparable;)Lorg/apache/commons/math3/geometry/partitioning/utilities/AVLTree$Node; 0.0, lineNumber=186, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree, methodName=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree{getNotLarger(Ljava/lang/Comparable;)Lorg/apache/commons/math3/geometry/partitioning/utilities/AVLTree$Node; 0.0, lineNumber=185, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP, methodName=org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP{solve(ILorg/apache/commons/math3/dfp/UnivariateDfpFunction;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/dfp/Dfp;Lorg/apache/commons/math3/analysis/solvers/AllowedSolution;)Lorg/apache/commons/math3/dfp/Dfp; 0.0, lineNumber=379, susp=0.0]
